district,code,endorsedtrump,party,demp,repp,demc,repc,year,white,black,latino,asianandpacificislander,native,highschoolorgreater,bachelorsdegreeorhigher,medianincome
Illinois' 6th,IL-06,Republican,Republican,32.9,67.099998,78465,160287,2014,83.099998,2.4000001,6.3000002,7.3000002,0,94.599998,51.5,96460
Illinois' 6th,IL-06,Republican,Republican,40.8,59.200001,143591,208555,2016,83.099998,2.4000001,6.3000002,7.3000002,0,94.599998,51.5,96460
Illinois' 7th,IL-07,Democrat,Democratic,84.2,15.8,250584,46882,2016,33.099998,50.400002,9.8999996,5.3000002,0.1,85.599998,40.799999,54112
Illinois' 7th,IL-07,Democrat,Democratic,85.1,14.9,155110,27168,2014,33.099998,50.400002,9.8999996,5.3000002,0.1,85.599998,40.799999,54112
Illinois' 7th,IL-07,Democrat,Democratic,87.6,12.4,215746,30497,2018,33.099998,50.400002,9.8999996,5.3000002,0.1,85.599998,40.799999,54112
Illinois' 8th,IL-08,Democrat,Democratic,55.7,44.299999,84178,66878,2014,66.599998,4.8000002,16,11.3,0.1,85.800003,33.200001,68211
Illinois' 8th,IL-08,Democrat,Democratic,58.3,41.700001,144954,103617,2016,66.599998,4.8000002,16,11.3,0.1,85.800003,33.200001,68211
Illinois' 8th,IL-08,Democrat,Democratic,66,34,130054,67073,2018,66.599998,4.8000002,16,11.3,0.1,85.800003,33.200001,68211
Illinois' 9th,IL-09,Democrat,Democratic,73.5,26.5,213368,76983,2018,71.400002,8.5,8,10.4,0.2,91.5,52.700001,68686
Illinois' 9th,IL-09,Democrat,Democratic,66.5,33.5,217306,109550,2016,71.400002,8.5,8,10.4,0.2,91.5,52.700001,68686
Illinois' 9th,IL-09,Democrat,Democratic,66.1,33.900002,141000,72384,2014,71.400002,8.5,8,10.4,0.2,91.5,52.700001,68686
Illinois' 10th,IL-10,Democrat,Democratic,65.6,34.400002,156540,82124,2018,70.199997,7.4000001,12.8,8.1000004,0.1,89.099998,44.200001,77213
Illinois' 10th,IL-10,Republican,Republican,48.7,51.299999,91136,95992,2014,70.199997,7.4000001,12.8,8.1000004,0.1,89.099998,44.200001,77213
Illinois' 10th,IL-10,Democrat,Democratic,52.6,47.400002,150435,135535,2016,70.199997,7.4000001,12.8,8.1000004,0.1,89.099998,44.200001,77213
Illinois' 11th,IL-11,Democrat,Democratic,53.5,46.5,93436,81335,2014,63.599998,12.1,16.6,6.1999998,0.1,86.199997,35.099998,72108
Illinois' 11th,IL-11,Democrat,Democratic,60.4,39.599998,166578,108995,2016,63.599998,12.1,16.6,6.1999998,0.1,86.199997,35.099998,72108
Illinois' 11th,IL-11,Democrat,Democratic,63.8,36.200001,145407,82358,2018,63.599998,12.1,16.6,6.1999998,0.1,86.199997,35.099998,72108
Illinois' 12th,IL-12,Republican,Republican,41.9,52.5,87860,110038,2014,79.5,16,2.3,0.80000001,0.2,89.400002,22.4,47214
Illinois' 12th,IL-12,Republican,Republican,45.4,51.599998,118724,134884,2018,79.5,16,2.3,0.80000001,0.2,89.400002,22.4,47214
Illinois' 12th,IL-12,Republican,Republican,39.7,54.299999,124246,169976,2016,79.5,16,2.3,0.80000001,0.2,89.400002,22.4,47214
Illinois' 13th,IL-13,Republican,Republican,40.3,59.700001,126811,187583,2016,83.5,10.2,2.4000001,1.9,0.2,92,30.4,50373
